[08-Aug-2015 09:33:06 Asia/Bangkok] PHP Parse error:  syntax error, unexpected 'PushHidden' (T_STRING) in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\view\frm-index.php on line 43
[08-Aug-2015 15:05:04 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 15:05:04 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
[08-Aug-2015 15:05:49 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 15:05:49 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
[08-Aug-2015 15:11:15 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 15:11:15 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
[08-Aug-2015 15:12:22 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 15:12:22 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
[08-Aug-2015 15:14:02 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 15:14:02 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
[08-Aug-2015 17:15:18 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 17:15:18 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
[08-Aug-2015 17:22:55 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 17:22:55 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
[08-Aug-2015 17:24:06 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 17:24:06 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
[08-Aug-2015 17:37:39 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 17:37:39 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
[08-Aug-2015 17:38:43 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 17:38:43 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
[08-Aug-2015 17:53:40 Asia/Bangkok] PHP Parse error:  syntax error, unexpected ';', expecting ')' in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 82
[08-Aug-2015 17:53:43 Asia/Bangkok] PHP Parse error:  syntax error, unexpected ';', expecting ')' in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 82
[08-Aug-2015 17:56:12 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 17:56:12 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
